,000020,동화약품,"28,850","500","1.8","29,250","29,800","28,450","812,971","23,642,936,950","805,822,909,500","0.04","27,931,470"
,000040,KR모터스,"732","-28","-3.7","762","780","730","736,631","555,490,205","67,095,865,176","0.00","91,661,018"
,000050,경방,"11,500","50","0.4","11,700","11,700","11,350","6,206","71,042,800","315,275,605,000","0.02","27,415,270"
,000060,메리츠화재,"12,500","-100","-0.8","12,650","12,650","12,500","36,953","463,893,400","1,421,000,000,000","0.07","113,680,000"
,000070,삼양홀딩스,"70,500","-200","-0.3","70,800","71,700","69,900","17,683","1,250,799,900","603,781,105,500","0.03","8,564,271"
,000075,삼양홀딩스우,"51,800","0","0.0","52,400","52,500","51,200","1,565","81,167,500","15,750,204,400","0.00","304,058"
,000080,하이트진로,"43,750","-850","-1.9","44,650","44,750","43,550","304,332","13,412,822,150","3,068,345,481,250","0.16","70,133,611"
,000087,하이트진로2우B,"23,200","-300","-1.3","23,700","23,700","23,050","4,723","110,153,900","26,219,201,600","0.00","1,130,138"
,000100,유한양행,"66,300","200","0.3","66,100","67,600","65,300","679,549","45,048,502,300","4,432,606,503,000","0.23","66,856,810"
,000105,유한양행우,"73,300","-200","-0.3","73,500","77,300","72,600","49,527","3,683,138,100","86,562,902,000","0.00","1,180,940"
,000120,CJ대한통운,"152,000","-1,000","-0.6","155,500","158,000","151,500","96,696","14,952,281,000","3,467,476,288,000","0.18","22,812,344"
,000140,하이트진로홀딩스,"21,900","-150","-0.7","22,300","22,300","21,600","11,825","259,267,500","508,228,153,500","0.03","23,206,765"
,000145,하이트진로홀딩스우,"19,300","0","0.0","19,350","19,500","19,300","1,527","29,598,900","9,086,633,000","0.00","470,810"
,000150,두산,"45,100","700","1.6","45,850","46,650","44,500","117,612","5,343,483,950","745,224,958,500","0.04","16,523,835"
,000155,두산우,"39,100","1,350","3.6","42,500","43,300","38,300","198,243","8,071,575,400","156,261,664,200","0.01","3,996,462"
,000157,두산2우B,"90,300","13,200","17.1","99,800","99,800","81,700","65,249","5,870,089,800","80,641,331,400","0.00","893,038"
,000180,성창기업지주,"1,680","-40","-2.3","1,725","1,745","1,670","197,387","333,722,085","117,182,688,000","0.01","69,751,600"
,000210,대림산업,"85,400","500","0.6","85,200","88,100","84,800","238,817","20,638,141,600","2,971,920,000,000","0.16","34,800,000"
,000215,대림산업우,"39,800","-50","-0.1","39,800","40,400","39,750","3,764","150,973,000","151,240,000,000","0.01","3,800,000"
,000220,유유제약,"17,650","-1,000","-5.4","18,250","19,150","17,500","961,774","17,591,507,500","119,193,980,000","0.01","6,753,200"
,000225,유유제약1우,"18,200","550","3.1","16,900","20,800","16,600","595,734","11,116,302,850","20,629,063,000","0.00","1,133,465"
,000227,유유제약2우B,"57,300","1,800","3.2","52,000","63,800","52,000","46,166","2,717,951,100","9,401,784,000","0.00","164,080"
,000230,일동홀딩스,"9,130","-170","-1.8","9,300","9,350","9,040","18,931","173,674,090","105,363,852,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"13,650","0","0.0","13,600","14,000","13,500","695,287","9,561,477,350","1,269,725,361,450","0.07","93,020,173"
,000250,삼천당제약,"52,900","-300","-0.6","53,200","54,100","52,100","323,032","17,155,484,500","1,193,919,620,100","0.06","22,569,369"
